P00027739T0000|0 28|Serum gamma glutamyltransferase
P08463320A1219|126 137|SSB tetramers
P08463320A1219|175 186|SSB tetramers
P08464056A0000|77 88|C2H2 type ZFPs
P08466864A0878|206 208|Sp1
P08466864A0878|140 143|CREB
P08466864A0878|206 220|Sp1 binding sites
P08468475A1280|224 236|alpha-subunit
P08470021A0195|25 27|IgG
P08471629A0816|37 46|C-terminus
P08471629A0816|119 129|Histone IIIS
P08474438A0000|76 101|RNA polymerase II transcripts
P08474439A0877|234 241|CArG site
P08474464A0348|35 36|TR
P08474464A0348|58 71|TR binding sites
P08476854A0097|0 5|DNase I
P08479742A0985|52 54|p53
P08482539A0913|51 54|xylP
P08483412A0000|127 137|NifA protein
P08483479A1056|108 113|alpha 1
P08484689T0000|34 49|rheumatoid factor
P08491383A0154|3 15|alpha-subunit
P08491383A1291|17 29|alpha-subunit
P08496185A0484|78 81|adk1
P08497269A0999|116 119|GCN2
P08497273T0000|28 73|murine immunoglobulin heavy-chain 3' alpha enhancer
P08497280A0266|20 23|SWI4
P08497280A0266|114 117|SWI4
P08497280A1397|86 89|SWI6
P08497280A1397|55 58|SWI4
P08497280T0000|47 50|SWI4
P08497280T0000|8 11|SWI6
P08499916A0000|26 40|type VII collagen
P08501030A0456|74 77|narL
P08503348A0226|3 17|HMG CoA reductase
P08504928T0000|136 140|TFIID
P08506384A0146|99 103|eIF-2
P08506384A0146|34 43|eIF-2 alpha
P08508774A0242|90 92|Lrp
P08508774A0242|22 24|Lrp
P08508778A0112|30 37|NOP1 gene
P08509335T0000|0 3|SSG1
P08509430A0372|125 132|psaB gene
P08510647A1347|99 113|barley globulins
P08510924A0490|74 84|Myb proteins
P08514766A0732|105 111|p21 rac1
P08515619A0184|123 128|Tl-201
P08516324A0000|224 231|FLI1 gene
P08519862T0001|13 33|anti-HCV IgM antibodies
P08521414A1384|200 212|p16INK4A locus
P08521717A0126|2 17|immunoperoxidase
P08522175A0306|53 63|beta subunit
P08522511A1578|126 143|beta-glucuronidase
P08522511A1578|66 83|beta-glucuronidase
P08522530A1342|168 177|sigma 54 box
P08523545T0000|150 154|Oct-1
P08524036A0747|65 85|stripe 2 enhancer region
P08524229T0000|77 80|SRS4
P08524241A0212|59 62|IME1
P08524260A0835|253 258|LTBP-1
P08524267A1022|116 131|myc-derived genes
P08524272T0000|78 122|SH2 domain-containing tyrosine phosphatase SHPTP1
P08524292A1022|44 46|YY1
P08524292A1022|93 95|AP1
P08524292A1022|123 125|YY1
P08524294A0652|3 11|skp1+ gene
P08524314A0216|148 166|DNA-binding proteins
P08529630A0840|26 37|P protein mRNA
P08529654A0589|120 124|Cyp-1
P08529662A0507|42 46|ERp57
P08530107A1003|48 56|histidase
P08530107A1003|81 89|histidase
P08530149A0689|32 36|c-myc
P08530342T0000|3 19|human gp39 promoter
P08530369A0099|96 119|Src family tyrosine kinases
P08530384A0559|176 179|Oct2
P08530432A0093|14 27|mutant proteins
P08532536A0925|112 132|epidermal growth factor
P08532536A0925|43 50|TGF-beta
P08533472A0777|196 200|ILF-2
P08533757A0204|140 144|BRCA1
P08534848A0188a|8 17|NR isoforms
P08534848A0188b|8 17|NR isoforms
P08534855A0000|30 66|chloroplast omega-3 fatty acid desaturase
P08535138A0857|98 103|cycMs4
P08536694A0000|0 13|Protein kinases
P08537388A0825|137 142|WNT-5A
P08537403A0336|3 15|protein kinase
P08537403A0336|33 37|LIMK2
P08538052A0000|348 361|human c-myc gene
P08538382A1012|18 20|EPO
P08542027A1471|88 91|CD44
P08544820T0000|87 105|Drosophila Lsp-2 gene
P08546707T0000|86 97|NF-kappa Bp50
P08546707T0000|72 76|c-Rel
P08548291A1059|144 148|Elk-1
P08548291A1059|81 85|Elk-1
P08550476A0610|164 167|EpiQ
P08551572A0155|74 77|ICP4
P08552082A0480|39 41|CAP
P08552086A0150|77 81|c-fos
P08552086A0150|57 60|VDRE
P08552092A1678|199 206|rep3 gene
P08552093A0657|130 138|G proteins
P08552095A0758|134 137|PAF1
P08552095A1115|74 83|yeast genes
P08552096A0151|144 148|cdc34
P08552643A0261|138 140|IFN
P08556707A1390|142 144|p53
P08561893A0100|113 122|bHLH factor
P08561897A0604|76 78|Sp1
P08561897A0604|140 143|CREB
P08561897A0604|151 154|AP-1
P08563483A0094|56 58|hCG
P08563483A0094|99 101|hCG
P08564488A1359|4 13|fibrinogen
P08565548A0196|77 92|bovine collagen II
P08566747A0756|0 2|SBF
P08566747A0756|130 132|SBF
P08566751A0455|137 154|Drosophila Hox genes
P08566754A0783|172 174|SF2
P08566756A0752|85 92|pre-mRNA
P08566773A1023|20 23|CTS2
P08567683A0401|3 15|human purH cDNA
P08569684A0000|130 132|PKC
P08573083A0645|142 161|human insulin promoter
P08575614A0264|0 10|Rad6 mutants
P08575618A1138|0 4|RNase
P08575754T0000|94 117|cyclin D-dependent kinases
P08576131A0685|117 138|recombinant USF proteins
P08576179A0126|9 11|PKR
P08576179A0126|99 108|cIF-2 alpha
P08576262A0160|107 109|G16
P08576546A0975|42 44|PDC
P08580083A0259|38 40|Fyn
P08580083A0259|192 197|HIV LTR
P08580083A0259|87 89|Fyn
P08580083A0259|148 183|chloramphenicol acetyltransferase gene
P08581174A0472|124 134|QUTA protein
P08582143A0614|143 156|beta-lactamase
P08582143A0614|119 120|S1
P08582633T0000|78 85|HMR locus
P08583783A0870|80 82|ANP
P08583846A0121|32 48|beta-2 transferrin
P08583846A0807|22 38|beta-2 transferrin
P08584026A0115|34 35|P2
P08584035A0740|179 180|R1
P08584035A0740|158 177|DNA-protein complexes
P08585324A0467|28 35|SSC1 gene
P08585883A0381|54 57|CD-1
P08586643A0951|11 27|recombinant enzyme
P08589358A0235|20 49|recombinant human erythropoietin
P08589358A0841|16 29|erythropoietin
P08589358A0841|108 109|Hb
P08589735A0577|114 122|ubiquitin
P08590465A0773|88 114|S. cerevisiae URA2 gene product
P08592590A0822|83 92|interferon
P08593813A0967|58 65|Sp1 mRNAs
P08595878A0201|108 110|RTK
P08595878A0201|85 106|receptor tyrosine kinase
P08597596A0135|36 49|ABC transporter
P08597636A0000|3 12|T-box motif
P08598051T0000|66 104|RNP consensus-sequence RNA-binding domains
P08598359X0000|225 226|T1
P08598359X0000|74 75|T1
P08599946A0999|39 41|p40
P08600028A1129|119 121|Myc
P08600028A1129|119 128|Myc protein
P08601616A0726|19 29|pds1 mutants
P08601806A0875|20 24|RPF-1
P08602169A0484|110 121|HML alpha loci
P08603921A1346|44 64|calmodulin binding site
P08604338A0885|101 105|FLI-1
P08604338A0885|192 196|FLI-1
P08604338A0885|33 37|FLI-1
P08605302A1770|173 184|CatA promoter
P08605705A0676|13 15|IgM
P08605931A0777|118 127|U1A protein
P08608447A0806|50 63|TPI transcripts
P08614410A0000|132 163|glycoprotein hormone alpha-subunit
P08615025A1214|286 288|CD4
P08615025A1214|342 345|CD4+
P08617216A0584|40 43|DnaK
P08617237A0489|29 33|STAT5
P08617238A0334|0 2|TNF
P08617238A0334|211 215|hsp27
P08617311A0979|87 89|IgE
P08617800A0150|27 36|erbB-2 gene
P08617800A0675|0 5|DNase I
P08617802A0993|41 43|SH2
P08617802A0993|49 51|SH2
P08617802A0993|108 110|Ras
P08618433A0000|99 99|R
P08618433A0000|76 97|tyrosine kinase receptor
P08618433A0000|126 130|STK-1
P08618882A0343|103 107|BZLF1
P08619866A0000|38 40|HGF
P08620856A1172|192 218|spermatid-specific c-kit cDNA
P08621017A1186|168 170|TRE
P08621384A0935|90 110|epidermal growth factor
P08621384A0935|125 132|PKCdelta
P08621420A1166|79 95|NF-kappaB proteins
P08621448A0862|81 101|C1 site-binding protein
P08621542A0535|8 21|protein kinases
P08621542A0535|113 116|IL-1
P08621542A0535|121 124|CD28
P08621542A0535|103 111|TNF-alpha
P08621628A1233|62 69|hGRalpha
P08621664A1430|98 100|PKN
P08621730T0000|73 78|COL1A2
P08621730T0000|98 126|transforming growth factor-beta
P08622645A1026|75 95|RXR-responsive element
P08622668A1155|116 129|C1 hnRNP protein
P08622668A1155|54 58|U6 RNA
P08622668A1155|178 185|pre-mRNA
P08622675A0587|97 115|lymphoid factor Lef-1
P08622698T0000|86 107|Epstein-Barr virus EBNA2
P08622887A1026|93 95|DBD
P08622893A0000|56 58|EPH
P08624445A0257|182 189|Waxy gene
P08625806A0263|69 70|r5
P08626290T0000|84 87|OmpA
P08626437A0332|73 96|glutathione S-transferase
P08626437A0332|98 100|GST
P08626493A1468|187 197|wild type E1A
P08626539T0000|82 97|nuclear receptors
P08626667A1372|97 111|nuclear proteins
P08626698A0989|140 158|immune complex kinase
P08626777A0537|123 137|link protein gene
P08626785A0674|391 403|RXR homodimers
P08627649A0734|192 194|Sp1
P08627667A0132|41 45|c-Fos
P08627719A0784|250 253|IE63
P08628251A1455|0 6|CM-ACO3
P08628254A0665|60 67|AP1 sites
P08628255A0932|36 45|luciferase
P08628255A0932|144 156|H2A.1 promoter
P08628284A0181|113 117|TRE-1
P08628302A0683|54 68|RNA polymerase II
P08630548A0000|99 102|IL-1
P08630583A1056|7 8|Hb
P08631760A0609|30 32|SH2
P08631817T0000|91 138|human deoxyuridine triphosphate nucleotidohydrolase
P08631820A0755|25 32|FPS1 gene
P08631934A0000|26 45|transcription factors
P08631958T0000|86 88|p53
P08632015A0879|52 77|DNA polymerase alpha promoter
P08632018A0587|72 81|UGT1A1 gene
P08634420A1784|96 102|muEpo-R
P08636031A1413|100 102|Fur
P08636031A1413|185 187|Fur
P08636149A0220|128 134|insulin
P08636149A0220|56 62|insulin
P08636428A1363|36 43|thrombin
P08637006A0000|189 195|ATF site
P08637711A1121|203 209|JRE-IL6
P08637711A1121|94 98|IRF-1
P08637717A0817|97 99|p21
P08637717A0817|46 48|p21
P08637717A1231|50 53|PCNA
P08637717A1231|110 112|p21
P08637717A1231|114 117|PCNA
P08639742T0000|70 87|zinc finger proteins
P08639837A0268|83 91|Ets family
P08640866A0473|128 130|MEK
P08640866A0473|50 52|PHA
P08642282A1009|98 120|B7 costimulatory molecule
P08642285A1548|112 116|STAT5
P08642313A0770|165 169|Bcl-3
P08643111A0855|273 276|mLL2
P08643382A0752|104 121|chloroplast protein
P08643513A0361|178 192|osteocalcin gene
P08643513A0361|30 61|chloramphenicol acetyltransferase
P08643578A0000|141 144|lacZ
P08643578A0000|191 194|lacZ
P08643578A0532|119 122|lacZ
P08643633A1187|54 57|CBF1
P08643646A0479|18 21|verA
P08643682A0268|139 162|wild-type or fusion protein
P08645214A1052|72 79|catalase
P08645219A1377|138 155|Ca2+ binding domains
P08647086A0622|22 29|cyclin D1
P08647086A0720|3 6|Cdk2
P08647086A0720|101 103|p53
P08647086A0720|166 169|Cdk2
P08647086A0720|182 185|Cdk2
P08647086A0720|126 140|nuclear proteins
P08647086T0000|116 119|Cdk7
P08647086T0000|25 28|Cdk2
P08647086T0000|69 72|Cdk2
P08647086T0000|56 63|cyclin D1
P08647086T0000|87 94|cyclin D1
P08647091A0592|135 151|mammalian ADH genes
P08647264T0000|184 187|PARP
P08647264T0000|149 153|CPP32
P08647434A1124|64 66|TBP
P08647434A1124|78 80|TBP
P08647802A0000|109 112|Grb2
P08647802A0000|93 95|SH2
P08647884A0547|52 69|MHC class I molecules
P08648665A0956|112 123|wild-type LE6
P08648726A0713|104 112|ZIB domain
P08649372A0501|47 63|MCB-binding factor
P08649372A0755|20 23|Mbp1
P08649372A0755|114 117|Mbp1
P08649373T0000|74 87|human c-myc gene
P08649389A0692|138 151|human c-myc gene
P08649405T0000|0 2|Sp1
P08649405T0000|83 85|AP1
P08649424A0000|15 42|phenylalanine hydroxylase gene
P08649425A0373|57 62|DNase I
P08649425T0000|48 81|mouse immunoglobulin kappa 3' enhancer
P08649428A1227|120 123|Cdc2
P08649841A0956|183 189|CAT mRNA
P08649841A0956|183 185|CAT
P08652081A1953|98 101|IL-1
P08652081A1953|182 185|IL-4
P08654375A0544|152 156|Oct-2
P08654375A0544|145 149|Oct-1
P08654375A0544|76 85|N-terminus
P08654390A0000|0 13|Heme oxygenase 1
P08654435A0540|115 118|Erk2
P08654435A0540|61 64|Erk2
P08654435A0540|46 48|TCR
P08654946A0475|117 125|human gene
P08654946A0986|74 75|P3
P08654983A0000|138 170|mammalian SRP receptor alpha-subunit
P08657150A1049|68 75|SIN5 gene
P08660892A1044|151 156|Mef-2C
P08661100A0285|68 74|App gene
P08661114A0564|61 81|Drosophila SIM proteins
P08662193A0404|123 126|NIT4
P08662789A0673|83 88|RPS30A
P08662852A1297|143 151|rhodopsin
P08662928A1153|65 76|STAT proteins
P08662936A0428|109 113|TEF-1
P08663000A0000|134 142|TGF-beta1
P08663120T0000|23 33|p70 S6 kinase
P08663127A0697|172 188|C-terminal regions
P08663141T0000|45 71|transcription initiation site
P08663219A0246|161 171|E-box region
P08663310A0157|86 105|immediate-early genes
P08663392A0215|27 39|human DSG3 gene
P08665853A0228|108 113|ErbB-3
P08665853A0228|161 166|ErbB-2
P08666102A0820|61 63|Ptc
P08666404A0311|16 30|full-length cDNA
P08666404A0311|161 163|PP5
P08668124A0744|78 81|sun2
P08668158A0765|218 221|RPM1
P08668158A1252|23 37|mutant RPM1 genes
P08668203A1230|109 112|SF-1
P08668210A0000|67 69|MEK
P08668210A0000|119 121|Ras
P08668210A0000|71 100|mitogen-activated protein kinase
P08668210A0000|61 65|Raf-1
P08670853A0000|18 27|E-cadherin
P08670910A0156|15 26|DNA ligase III
P08672242A0517|65 74|P1 promoter
P08676266A0838|15 22|protease
P08676454A0731|22 23|N0
P08676454A0731|33 37|ICP35
P08676454A0731|39 43|ICP35
P08676456A0879|72 75|AP-1
P08676456A0879|14 16|Tat
P08676456A0879|115 118|VP16
P08676456A0879|9 12|VP16
P08676858A1084|31 32|T2
P08682317A0900|67 71|HSF-1
P08683106A0374|78 82|STAT5
P08683106A0374|33 42|STAT1 alpha
P08683106A0374|52 55|IL-2
P08683106A0374|46 50|STAT5
P08683106A0374|8 11|IL-2
P08683106A0374|120 129|STAT1 alpha
P08683108A0965|135 152|mutant CRE-like site
P08683108A0965|44 47|CREB
P08683108A1501|106 109|junB
P08683983A0785|21 30|70 D protein
P08683983A1163|74 82|c-myb gene
P08684522A0415|84 97|type IV collagen
P08688556A0242|104 121|clathrin heavy chain
P08692885A0663|55 80|C-terminal zinc finger domain
P08692892A0330|148 159|alpha-factor
P08702633A0164|144 177|Ras guanine nucleotide exchange factor
P08702633A0164|107 110|Grb2
P08702756A0000|67 87|actin-myosin filaments
P08702807A0964|136 150|cyclin D1 protein
P08702936A0168|71 88|phytohemagglutinin
P08702936A0168|167 173|CD4 cDNA
P08703005A0645|90 92|Sp1
P08703010A0905|173 193|E-box-binding proteins
P08703908A1814|110 117|StAR gene
P08703908A1814|39 42|SF-1
P08704240A1111|93 99|PIXY321
P08704240A1111|49 52|CREB
P08704240A1111|26 31|GM-CSF
P08706731A1303|236 248|PR-10 proteins
P08707424A0709|15 25|ERV3 env mRNA
P08707840A0753|55 57|p54
P08707840A0753|109 111|p62
P08707846A2308|183 198|a-factor receptor
P08709224T0000|87 90|Ini1
P08709245A1521|206 210|HDAgs
P08710371A0000|176 178|p53
P08710377A0577|45 48|Grb2
P08710377A0577|124 126|BCR
P08710504A0995|49 58|cat1 mutant
P08717391A0466|195 199|HBcAg
P08717391A0466|16 25|N-terminus
P08717391A0466|100 109|C-terminus
P08717391A0466|82 91|N-terminus
P08717559A0223|94 99|anti-D
P08717559A0223|19 24|anti-D
P08720407A1386|95 112|interleukin-1 alpha
P08721989A1012|138 146|IL-2R beta
P08721999A0432|67 75|snoRNA U14
P08721999A0727|0 2|U24
P08722011A0103|162 180|mammalian protein L12
P08723352A0084|48 70|cyclin-dependent kinases
P08723352A0084|142 144|pRb
P08728040T0000|115 141|basic fibroblast growth factor
P08731222A0000|226 228|PHA
P08731511A0625|29 43|antithrombin III
P08731511A0625|72 75|HCII
P08731511A0625|11 20|fibrinogen
P08732665A0000|248 268|epidermal growth factor
P08740416A0239|114 137|N-terminal signal sequence
P08740416A0239|99 108|C-terminus
P08740416A0919|29 32|SEB2
P08748033A0874|133 136|DegP
P08749393A0783|77 80|p110
P08749394A0874|82 91|RBP-J kappa
P08754777A1214|37 39|T3R
P08754802T0000|106 121|nuclear receptors
P08754834A1097|113 119|NN-84AG
P08754840A0793|84 98|deltabem4 mutant
P08755898A0339|117 122|avrBs2
P08756332A0000|12 14|Ras
P08756332A0000|197 203|Ral-GEF
P08756433A0282|136 144|MAP1B gene
P08756597A0854|62 69|psaB mRNA
P08756636T0000|71 82|Srs2 helicase
P08757943A0876|50 72|thymidine kinase promoter
P08760286A0696|266 268|Vav
P08760286A0696|195 201|GTPases
P08760286A0696|178 180|Ras
P08760286A0696|30 32|Vav
P08760872A0696|32 34|E2F
P08760889A0170|76 79|H2A1
P08760889A0531|173 176|H2A2
P08760889A0531|149 152|H2A1
P08763311A0189|20 40|alpha-1 adrenoreceptor
P08763953A0805|66 69|traG
P08763953A0805|19 22|traF
P08766781A0322|71 72|Hb
P08768374A0765|10 26|P-rr cDNA sequences
P08768377A1387|64 79|phytochrome C gene
P08770021T0000|67 69|Ras
P08770981A0328|42 44|vWF
P08771781A1103|102 105|PMSR
P08774732A0271|13 15|Sp1
P08774732A0271|26 30|egr-1
P08776735A0000|162 170|rLHR-t631
P08776901A0000|0 17|Chloroplast mutator
P08780339A0142|233 235|RS3
P08781119A0723|109 124|rat Met-ase-1 gene
P08784787A0383|28 31|PAR2
P08790387A0299|60 66|whn gene
P08792217A1407|202 211|TIMP-2 mRNA
P08794254A2957|5 7|SPK
P08794326A0405|102 108|pol gene
P08794326A0405|55 57|TRE
P08794339A1162|193 196|CREB
P08794339A1162|136 138|CBP
P08794339A1162|158 161|CREB
P08794348A1067|130 140|NIa proteins
P08794363A0259|68 84|jun-fos gene family
P08794869A0274|66 83|alpha 2 integrin gene
P08795304T0000|6 19|thrombomodulin
P08798420A0207|181 184|pp60
P08798443A0660|183 209|mim-1A Myb-responsive element
P08798443A1218|43 47|c-Myb
P08798443A1218|193 197|c-Myb
P08798512A1197|53 61|u-PAR gene
P08798610A0843|229 242|Dbl oncoprotein
P08798643T0000|108 113|ZAP-70
P08798648A1816|61 72|native enzyme
P08798762A1279|85 87|PKC
P08798782A0976|0 2|Lck
P08798782A0976|40 42|SH2
P08804389A0893|130 137|Ltp4 mRNA
P08805338A1061|117 120|Ogg1
P08806693A0584|140 149|luciferase
P08806693A0584|224 229|GATA-1
P08806817A0244|113 128|human TR2 receptor
P08808120A0774|178 185|ferritin
P08808120A0774|148 158|transferrin
P08808275A1193|62 75|mammalian genes
P08808707A0631|108 111|SAPK
P08808707A0631|68 70|ERK
P08808924A0326|222 225|ProW
P08808927A0417|40 47|vspA gene
P08810278A0682|84 87|p130
P08810278A0682|94 97|p130
P08810278A0682|160 162|BCR
P08810278A0682|51 53|BCR
P08812106T0000|0 7|PCNA mRNA
P08813766A0605|177 181|Cre-A
P08816052A0238|147 152|K-SNAP
P08816452A0936|51 53|p54
P08816452A0936|74 82|SR protein
P08816453A0000|73 83|Raf-1 kinase
P08816459A0090|150 152|RAR
P08816459A0090|123 124|TR
P08816460A1769|77 79|Ras
P08816460A1769|122 126|Erk-2
P08816472T0000|43 46|Byr2
P08816482A0234|27 31|Stat5
P08816483A0869|34 37|RIC3
P08816504T0000|151 153|Ras
P08816507A1125|56 58|p53
P08816507A1125|135 137|YY1
P08816759A0000|114 115|TR
P08816759A0000|128 143|nuclear receptors
P08816759A0000|86 88|RAR
P08817324A1070|83 123|immunoglobulin-like CAGGG pentamer sequences
P08818718A1229|130 136|GC cDNAs
P08820648A0123|60 78|nrdAB-encoded enzyme
P08824585A0260|18 30|protein kinase
P08824805A0832|75 84|p55 protein
P08825556A0522|113 116|CREB
P08825633A0304|72 87|human G alpha q cDNA
P08825636T0000|72 75|p105
P08825636T0000|153 161|NF-kappa B
P08825636T0000|112 120|NF-kappa B
P08828152A1238|120 132|viral proteins
P08832146A0959|37 59|bone alkaline phosphatase
P08833653A0783|27 33|insulin
P08835895A1292|3 5|CD4
P08835969A0000|229 236|beta-hCG
P08835969A0000|99 100|EP
P08835969A0000|189 199|beta subunit
P08836740A1025|14 17|CES4
P08837503A0392|94 100|SbHRGP3
P08838144A0107|53 55|PRL
P08838144A0107|102 103|S1
P08838314A0129|172 177|AVPR1A
P08838585A0968|71 77|ras-p21
P08838585A0968|71 73|ras
P08838585A0968|75 77|p21
P08838805T0000|46 51|CTNNB1
P08840501A0345|78 81|ACT4
P08843412A0543|68 69|TR
P08843412A0543|64 66|RAR
P08843412A0543|74 105|chicken ovalbumin upstream promoter
P08846775A0110|113 116|CLN2
P08848052A0733|27 30|Gle1
P08848052A0733|109 112|Gle1
P08849778A0226|95 98|CopA
P08856077T0000|61 70|interferon
P08856132T0000|32 49|intra-uterine kinin
P08858211A0694|112 114|GST
P08861955A0927|195 198|TC21
P08861963A0375b|131 145|rrnBP1 UP element
P08861963T0000|93 110|DNA enhancer element
P08866485A0125|73 104|mammalian cell regulatory molecules
P08868473A1287|13 15|p28
P08868954A0648|123 149|angiotensin converting enzyme
P08870266A0651|84 87|NodO
P08871567A0000|65 69|c-myc
P08871635A0000|96 99|CD40
P08871635A0000|21 23|BCR
P08872162A0884|58 61|CD4+
P08873063A0493|54 59|LvUSF1
P08876167A0322|19 36|DNA-binding subunit
P08876167A0717|151 154|gp91
P08876701A0177|39 42|DinB
P08877818A0184|81 83|Lys
P08878045A0606|63 74|alpha subunit
P08879237A0744|114 114|R
P08881036A0351|39 41|CL2
P08882492A0000|40 47|Hox genes
P08887643A1167|58 61|TC21
P08887643A1167|52 54|Ras
P08887643A1167|75 78|TC21
P08887661A0138|0 4|IRF-1
P08887661A0138|42 46|IRF-2
P08887661A1061|27 31|TFIIB
P08887661A1061|35 39|IRF-1
P08887667A0992|168 176|Clb kinase
P08887674A0630|86 107|Ets-responsive elements
P08887674A0920|38 61|cyclin D-dependent kinases
P08887678A0000|55 67|GAL10 promoter
P08892755A0981|150 152|CAT
P08892755A0981|41 72|chloramphenicol acetyltransferase
P08892755A0981|74 76|CAT
P08892757T0000|39 47|Ets family
P08892859A0563|142 152|c-myb allele
P08895522T0000|24 37|tyrosine kinase
P08895522T0000|24 43|tyrosine kinase domain
P08895579A0583|35 38|MDM2
P08896280A0860|143 146|yvh1
P08896280A0860|44 47|IME1
P08896402A0587|121 132|30 kD subunits
P08898336A0268|0 4|RNase
P08898866A0458|208 223|N-terminal domain
P08900190A0430|93 97|c-Fos
P08900190A0430|101 105|c-Jun
P08900190A0430|86 90|MKP-1
P08900296A0000|18 27|E-selectin
P08901135A1132|169 172|NIT2
P08902214A1486|52 54|PRL
P08902214A1486|101 111|Stat factors
P08902847A1946|261 265|min-1
P08902847A1946|147 159|hCG alpha 1 beta
P08902847A1946|174 178|min-1
P08906139A2935|52 70|alkaline phosphatase
P08910292T0000|40 43|Rac1
P08910292T0000|79 107|stress-activated protein kinase
P08910373A0315|54 69|human Y2 receptors
P08910550A0501|41 43|CBF
P08910567A2269|3 11|human gene
P08912807A0411|139 157|beta-casein promoter
